"auction_type","auction_date","auction_time","sold_to","sold_amount","judgment_amount","assessed_value","plaintiff_max_bid","surplus_amount","case_number","parcel_id","address","city","state","zip"
"FORECLOSURE","10/16/2024","11:24 AM ET","3rd Party Bidder","$225,300.00","$72,677.89","$273,036.00","Hidden","$152,622.11","412023CA000504CAAXMA","2612800009","215 16TH ST W","PALMETTO","FL","34221"
"FORECLOSURE","11/06/2024","11:15 AM ET","3rd Party Bidder","$177,600.00","$74,125.13","$236,024.00","Hidden","$103,474.87","412022CA002217CAAXMA","1820500005","5310 16TH ST E","BRADENTON","FL","34203"
"FORECLOSURE","11/14/2024","11:09 AM ET","3rd Party Bidder","$500,000.00","$624,511.00","$680,605.00","Hidden","$-124,511.00","412024CA001395CAAXMA","587644956","10609 CHEVAL PL","BRADENTON","FL","34202"
"FORECLOSURE","11/21/2024","11:28 AM ET","3rd Party Bidder","$218,600.00","$76,603.02","$218,639.00","$99,133.41","$141,996.98","412023CA001104CAAXMA","6121700006","5706 23RD ST W","BRADENTON","FL","34207"
"FORECLOSURE","12/11/2024","11:02 AM ET","3rd Party Bidder","$247,700.00","$327,845.04","$338,027.00","Hidden","$-80,145.04","412022CA003479CAAXMA","4974317457","3602 CAMBRIDGE DR W","BRADENTON","FL","34205"
"FORECLOSURE","10/08/2024","11:16 AM ET","3rd Party Bidder","$80,200.00","$17,371.07","$71,500.00","$17,844.68","$62,828.93","01 2023 CC 001361","06653-020-000","7200 SW 8TH AVE","GAINESVILLE","FL","32607"
"FORECLOSURE","10/08/2024","11:27 AM ET","3rd Party Bidder","$147,400.00","$121,408.01","$115,682.00","Hidden","$25,991.99","01 2024 CA 000218","10624-027-000","1403 NE 22ND AVE","GAINESVILLE","FL","32609"
"FORECLOSURE","10/22/2024","11:02 AM ET","3rd Party Bidder","$121,100.00","$257,598.06","$81,616.00","Hidden","$-136,498.06","01 2023 CA 003363","08203-020-000","3015 NE 13TH DR","GAINESVILLE","FL","32609"
"FORECLOSURE","10/24/2024","11:19 AM ET","3rd Party Bidder","$117,600.00","$56,918.76","$74,367.00","$58,103.92","$60,681.24","01 2023 CC 005034","00914-000-000","18573 NW 246TH ST","HIGH SPRINGS","FL","32643"
"FORECLOSURE","11/07/2024","11:08 AM ET","3rd Party Bidder","$125,100.00","$122,816.10","$43,622.00","Hidden","$2,283.90","01 2023 CA 003783","12884-031-000","608 SW 2ND ST","GAINESVILLE","FL","32601"
"FORECLOSURE","11/07/2024","11:29 AM ET","3rd Party Bidder","$197,300.00","$90,708.15","$115,964.00","Hidden","$106,591.85","01 2023 CA 004296","06091-020-093","3337 NW 25TH TER","GAINESVILLE","FL","32605"
"FORECLOSURE","11/14/2024","11:06 AM ET","3rd Party Bidder","$120,100.00","$53,235.42","$96,907.00","Hidden","$66,864.58","01 2022 CA 004076","10607-026-000","1122 NE 20TH AVE","GAINESVILLE","FL","32609"
"FORECLOSURE","11/14/2024","11:13 AM ET","3rd Party Bidder","$37,000.00","$36,060.36","Not Found","$36,353.71","$939.64","01 2024 CA 000480","Property Appraiser","Not Found","Not Found","Not Found","Not Found"
"FORECLOSURE","10/02/2024","11:12 AM CT","3rd Party Bidder","$138,000.00","$87,744.66","$94,988.00","$87,744.66","$50,255.34","23001472CA","13323-000-000","109 CONCORD CIR","PANAMA CITY","FL","32405"
